"Type","Environment","ResourceGroup","SubscriptionId","Section","Status","Passed","Total","Percent","Message","SubItem"
"env","law-prod-eu","rg-sentinel-prod-eu","a1b2c3d4-e5f6-7890-abcd-ef1234567890","","","0","0","0","",""
"check","law-prod-eu","","","Defender Data","WARNING","0","0","0","The table DeviceInfo has a retention of 30 days - no need to ingest this data in Sentinel",""
"check","law-prod-eu","","","Defender Data","OK","0","0","0","The table DeviceNetworkInfo has a retention of 180 days - need to be stored in Sentinel for more retention",""
"check","law-prod-eu","","","Defender Data","OK","0","0","0","The table DeviceProcessEvents has a retention of 180 days - need to be stored in Sentinel for more retention",""
"check","law-prod-eu","","","Defender Data","OK","0","0","0","The table DeviceNetworkEvents has a retention of 365 days - need to be stored in Sentinel for more retention",""
"check","law-prod-eu","","","Defender Data","OK","0","0","0","The table DeviceFileEvents has a retention of 180 days - need to be stored in Sentinel for more retention",""
"check","law-prod-eu","","","Defender Data","OK","0","0","0","The table DeviceRegistryEvents has a retention of 180 days - need to be stored in Sentinel for more retention",""
"check","law-prod-eu","","","Defender Data","OK","0","0","0","The table DeviceLogonEvents has a retention of 365 days - need to be stored in Sentinel for more retention",""
"check","law-prod-eu","","","Defender Data","OK","0","0","0","The table DeviceImageLoadEvents has a retention of 90 days - need to be stored in Sentinel for more retention",""
"check","law-prod-eu","","","Defender Data","WARNING","0","0","0","The table DeviceEvents has a retention of 30 days - no need to ingest this data in Sentinel",""
"check","law-prod-eu","","","Defender Data","WARNING","0","0","0","The table DeviceFileCertificateInfo has a retention of 30 days - no need to ingest this data in Sentinel",""
"check","law-prod-eu","","","Defender Data","OK","0","0","0","The table EmailEvents has a retention of 90 days - need to be stored in Sentinel for more retention",""
"check","law-prod-eu","","","Defender Data","OK","0","0","0","The table EmailUrlInfo has a retention of 730 days - need to be stored in Sentinel for more retention",""
"check","law-prod-eu","","","Defender Data","OK","0","0","0","The table EmailAttachmentInfo has a retention of 180 days - need to be stored in Sentinel for more retention",""
"check","law-prod-eu","","","Defender Data","OK","0","0","0","The table EmailPostDeliveryEvents has a retention of 365 days - need to be stored in Sentinel for more retention",""
"check","law-prod-eu","","","Defender Data","OK","0","0","0","The table UrlClickEvents has a retention of 365 days - need to be stored in Sentinel for more retention",""
"check","law-prod-eu","","","Defender Data","OK","0","0","0","The table CloudAppEvents has a retention of 180 days - need to be stored in Sentinel for more retention",""
"check","law-prod-eu","","","Defender Data","OK","0","0","0","The table IdentityLogonEvents has a retention of 180 days - need to be stored in Sentinel for more retention",""
"check","law-prod-eu","","","Defender Data","OK","0","0","0","The table IdentityQueryEvents has a retention of 365 days - need to be stored in Sentinel for more retention",""
"check","law-prod-eu","","","Defender Data","OK","0","0","0","The table IdentityDirectoryEvents has a retention of 180 days - need to be stored in Sentinel for more retention",""
"check","law-prod-eu","","","Defender Data","OK","0","0","0","The table AlertInfo has a retention of 90 days - need to be stored in Sentinel for more retention",""
"check","law-prod-eu","","","Defender Data","OK","0","0","0","The table AlertEvidence has a retention of 180 days - need to be stored in Sentinel for more retention",""
"score","law-prod-eu","","","Defender Data","","18","21","85.71","",""
"check","law-prod-eu","","","Analytics","OK","0","0","0","The Fusion engine is not enabled",""
"check","law-prod-eu","","","Analytics","OK","0","0","0","Alert visibility configured correctly","Guest user added to sensitive group"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No incident reopening","Guest user added to sensitive group"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No custom alert grouping","Guest user added to sensitive group"
"check","law-prod-eu","","","Analytics","OK","0","0","0","Alert visibility configured correctly","GitHub secret exposure detected"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No incident reopening","GitHub secret exposure detected"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No custom alert grouping","GitHub secret exposure detected"
"check","law-prod-eu","","","Analytics","OK","0","0","0","Alert visibility configured correctly","Suspicious inbox forwarding rule"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No incident reopening","Suspicious inbox forwarding rule"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No custom alert grouping","Suspicious inbox forwarding rule"
"check","law-prod-eu","","","Analytics","OK","0","0","0","Alert visibility configured correctly","Azure Key Vault secret accessed"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No incident reopening","Azure Key Vault secret accessed"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No custom alert grouping","Azure Key Vault secret accessed"
"check","law-prod-eu","","","Analytics","INFORMATIONAL","0","0","0","Rule is disabled. It will remain disabled after onboarding","Tor exit node communication"
"check","law-prod-eu","","","Analytics","OK","0","0","0","Alert visibility configured correctly","Tor exit node communication"
